time_ps,tap,valid,ready,sop,eop,k_word,frame_header,subheader,frame_trailer,payload_region,tb_feb_valid,sidecar_valid,sidecar_hex,data_hex,decoded_asic,decoded_channel,decoded_t_fine
2313411200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1840000f7,0,0,0
2313417600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1650000f7,4,0,0
2313417600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1850000f7,4,0,0
2313424000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1660000f7,8,0,0
2313424000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1860000f7,8,0,0
2313430400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1670000f7,12,0,0
2313430400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1870000f7,12,0,0
2313436800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1680000f7,0,0,0
2313436800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1880000f7,0,0,0
2313443200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1690000f7,4,0,0
2313443200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1890000f7,4,0,0
2313449600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16a0000f7,8,0,0
2313449600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18a0000f7,8,0,0
2313456000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16b0000f7,12,0,0
2313456000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18b0000f7,12,0,0
2313462400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16c0000f7,0,0,0
2313462400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18c0000f7,0,0,0
2313468800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16d0000f7,4,0,0
2313468800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18d0000f7,4,0,0
2313475200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16e0000f7,8,0,0
2313475200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18e0000f7,8,0,0
