time_ps,bank,debug_valid,debug_delay_cycles,hit1_valid,hit1_ready,hit1_empty,hit1_error,hit_ts8n,hit_key,asic,channel,t_fine,metadata_valid,metadata_hex
2875364000,0,1,894,1,1,0,0,1890,118,X,18,0,1,0x0003931b1X000ab2
2875388000,0,1,897,1,1,0,0,1890,118,X,19,0,1,0x0003931e1X000ab3
2875420000,0,1,901,1,1,0,0,1890,118,X,20,0,1,0x000393221X000ab4
2875444000,0,1,904,1,1,0,0,1890,118,X,21,0,1,0x000393251X000ab5
2875476000,0,1,908,1,1,0,0,1890,118,X,22,0,1,0x000393291X000ab6
2875500000,0,1,911,1,1,0,0,1890,118,X,23,0,1,0x0003932c1X000ab7
2875532000,0,1,915,1,1,0,0,1890,118,X,24,0,1,0x000393301X000ab8
2875556000,0,1,918,1,1,0,0,1890,118,X,25,0,1,0x000393331X000ab9
2875588000,0,1,922,1,1,0,0,1890,118,X,26,0,1,0x000393371X000aba
2875612000,0,1,925,1,1,0,0,1890,118,X,27,0,1,0x0003933a1X000abb
2875644000,0,1,929,1,1,0,0,1890,118,X,28,0,1,0x0003933e1X000abc
2875668000,0,1,932,1,1,0,0,1890,118,X,29,0,1,0x000393411X000abd
2875700000,0,1,936,1,1,0,0,1890,118,X,30,0,1,0x000393451X000abe
2875724000,0,1,939,1,1,0,0,1890,118,X,31,0,1,0x000393481X000abf
2882140000,0,1,481,1,1,0,0,3150,196,X,0,0,1,0x0003966a1X000ac0
2882164000,0,1,484,1,1,0,0,3150,196,X,1,0,1,0x0003966d1X000ac1
2882196000,0,1,488,1,1,0,0,3150,196,X,2,0,1,0x000396711X000ac2
2882220000,0,1,491,1,1,0,0,3150,196,X,3,0,1,0x000396741X000ac3
2882252000,0,1,495,1,1,0,0,3150,196,X,4,0,1,0x000396781X000ac4
2882276000,0,1,498,1,1,0,0,3150,196,X,5,0,1,0x0003967b1X000ac5
2882308000,0,1,502,1,1,0,0,3150,196,X,6,0,1,0x0003967f1X000ac6
2882332000,0,1,505,1,1,0,0,3150,196,X,7,0,1,0x000396821X000ac7
2882364000,0,1,509,1,1,0,0,3150,196,X,8,0,1,0x000396861X000ac8
2882388000,0,1,512,1,1,0,0,3150,196,X,9,0,1,0x000396891X000ac9
2882420000,0,1,516,1,1,0,0,3150,196,X,10,0,1,0x0003968d1X000aca
2882444000,0,1,519,1,1,0,0,3150,196,X,11,0,1,0x000396901X000acb
2882476000,0,1,523,1,1,0,0,3150,196,X,12,0,1,0x000396941X000acc
2882500000,0,1,526,1,1,0,0,3150,196,X,13,0,1,0x000396971X000acd
2882532000,0,1,530,1,1,0,0,3150,196,X,14,0,1,0x0003969b1X000ace
2882556000,0,1,533,1,1,0,0,3150,196,X,15,0,1,0x0003969e1X000acf
2882588000,0,1,537,1,1,0,0,3150,196,X,16,0,1,0x000396a21X000ad0
2882612000,0,1,540,1,1,0,0,3150,196,X,17,0,1,0x000396a51X000ad1
2882644000,0,1,544,1,1,0,0,3150,196,X,18,0,1,0x000396a91X000ad2
2882668000,0,1,547,1,1,0,0,3150,196,X,19,0,1,0x000396ac1X000ad3
2882700000,0,1,551,1,1,0,0,3150,196,X,20,0,1,0x000396b01X000ad4
2882724000,0,1,554,1,1,0,0,3150,196,X,21,0,1,0x000396b31X000ad5
2882756000,0,1,558,1,1,0,0,3150,196,X,22,0,1,0x000396b71X000ad6
2882780000,0,1,561,1,1,0,0,3150,196,X,23,0,1,0x000396ba1X000ad7
2882812000,0,1,565,1,1,0,0,3150,196,X,24,0,1,0x000396be1X000ad8
2882836000,0,1,568,1,1,0,0,3150,196,X,25,0,1,0x000396c11X000ad9
2882868000,0,1,572,1,1,0,0,3150,196,X,26,0,1,0x000396c51X000ada
2882892000,0,1,575,1,1,0,0,3150,196,X,27,0,1,0x000396c81X000adb
2882924000,0,1,579,1,1,0,0,3150,196,X,28,0,1,0x000396cc1X000adc
2882948000,0,1,582,1,1,0,0,3150,196,X,29,0,1,0x000396cf1X000add
2882980000,0,1,586,1,1,0,0,3150,196,X,30,0,1,0x000396d31X000ade
2883004000,0,1,589,1,1,0,0,3150,196,X,31,0,1,0x000396d61X000adf
2889420000,0,1,130,1,1,0,0,4411,19,X,0,0,1,0x000399f81X000ae0
2889444000,0,1,133,1,1,0,0,4411,19,X,1,0,1,0x000399fb1X000ae1
2889476000,0,1,137,1,1,0,0,4411,19,X,2,0,1,0x000399ff1X000ae2
2889500000,0,1,140,1,1,0,0,4411,19,X,3,0,1,0x00039a021X000ae3
2889532000,0,1,144,1,1,0,0,4411,19,X,4,0,1,0x00039a061X000ae4
2889556000,0,1,147,1,1,0,0,4411,19,X,5,0,1,0x00039a091X000ae5
2889588000,0,1,151,1,1,0,0,4411,19,X,6,0,1,0x00039a0d1X000ae6
2889612000,0,1,154,1,1,0,0,4411,19,X,7,0,1,0x00039a101X000ae7
2889644000,0,1,158,1,1,0,0,4411,19,X,8,0,1,0x00039a141X000ae8
2889668000,0,1,161,1,1,0,0,4411,19,X,9,0,1,0x00039a171X000ae9
2889700000,0,1,165,1,1,0,0,4411,19,X,10,0,1,0x00039a1b1X000aea
2889724000,0,1,168,1,1,0,0,4411,19,X,11,0,1,0x00039a1e1X000aeb
2889756000,0,1,172,1,1,0,0,4411,19,X,12,0,1,0x00039a221X000aec
2889780000,0,1,175,1,1,0,0,4411,19,X,13,0,1,0x00039a251X000aed
2889812000,0,1,179,1,1,0,0,4411,19,X,14,0,1,0x00039a291X000aee
2889836000,0,1,182,1,1,0,0,4411,19,X,15,0,1,0x00039a2c1X000aef
2889868000,0,1,186,1,1,0,0,4411,19,X,16,0,1,0x00039a301X000af0
2889892000,0,1,189,1,1,0,0,4411,19,X,17,0,1,0x00039a331X000af1
2889924000,0,1,193,1,1,0,0,4411,19,X,18,0,1,0x00039a371X000af2
2889948000,0,1,196,1,1,0,0,4411,19,X,19,0,1,0x00039a3a1X000af3
2889980000,0,1,200,1,1,0,0,4411,19,X,20,0,1,0x00039a3e1X000af4
2890004000,0,1,203,1,1,0,0,4411,19,X,21,0,1,0x00039a411X000af5
2890036000,0,1,207,1,1,0,0,4411,19,X,22,0,1,0x00039a451X000af6
2890060000,0,1,210,1,1,0,0,4411,19,X,23,0,1,0x00039a481X000af7
2890092000,0,1,214,1,1,0,0,4411,19,X,24,0,1,0x00039a4c1X000af8
2890116000,0,1,217,1,1,0,0,4411,19,X,25,0,1,0x00039a4f1X000af9
2890148000,0,1,221,1,1,0,0,4411,19,X,26,0,1,0x00039a531X000afa
2890172000,0,1,224,1,1,0,0,4411,19,X,27,0,1,0x00039a561X000afb
2890204000,0,1,228,1,1,0,0,4411,19,X,28,0,1,0x00039a5a1X000afc
2890228000,0,1,231,1,1,0,0,4411,19,X,29,0,1,0x00039a5d1X000afd
2890260000,0,1,235,1,1,0,0,4411,19,X,30,0,1,0x00039a611X000afe
2890284000,0,1,238,1,1,0,0,4411,19,X,31,0,1,0x00039a641X000aff
2903980000,0,1,690,1,1,0,0,5671,98,X,0,0,1,0x0003a1141X000b00
2904004000,0,1,693,1,1,0,0,5671,98,X,1,0,1,0x0003a1171X000b01
2904036000,0,1,697,1,1,0,0,5671,98,X,2,0,1,0x0003a11b1X000b02
2904060000,0,1,700,1,1,0,0,5671,98,X,3,0,1,0x0003a11e1X000b03
2904092000,0,1,704,1,1,0,0,5671,98,X,4,0,1,0x0003a1221X000b04
2904116000,0,1,707,1,1,0,0,5671,98,X,5,0,1,0x0003a1251X000b05
2904148000,0,1,711,1,1,0,0,5671,98,X,6,0,1,0x0003a1291X000b06
2904172000,0,1,714,1,1,0,0,5671,98,X,7,0,1,0x0003a12c1X000b07
2904204000,0,1,718,1,1,0,0,5671,98,X,8,0,1,0x0003a1301X000b08
2904228000,0,1,721,1,1,0,0,5671,98,X,9,0,1,0x0003a1331X000b09
2904260000,0,1,725,1,1,0,0,5671,98,X,10,0,1,0x0003a1371X000b0a
2904284000,0,1,728,1,1,0,0,5671,98,X,11,0,1,0x0003a13a1X000b0b
2904316000,0,1,732,1,1,0,0,5671,98,X,12,0,1,0x0003a13e1X000b0c
2904340000,0,1,735,1,1,0,0,5671,98,X,13,0,1,0x0003a1411X000b0d
2904372000,0,1,739,1,1,0,0,5671,98,X,14,0,1,0x0003a1451X000b0e
2904396000,0,1,742,1,1,0,0,5671,98,X,15,0,1,0x0003a1481X000b0f
2904428000,0,1,746,1,1,0,0,5671,98,X,16,0,1,0x0003a14c1X000b10
2904452000,0,1,749,1,1,0,0,5671,98,X,17,0,1,0x0003a14f1X000b11
